"date","mood","arousal","valence","activity","screen","builtin","communication","entertainment","finance","office","other","social","travel","unknown","utilities"
2014-03-14,6.5,-0.25,0.5,NA,243.046000242233,269.401,35.161,NA,NA,NA,172.527,NA,NA,NA,NA
2014-03-15,6.75,0.75,0.5,NA,165.017000198364,40.433,124.345,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-16,6.16666666666667,-0.666666666666667,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-17,6.4,0,0,0,0.694999933242798,6.644,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-18,7.2,0.4,1.2,0.118737145207733,3214.6289999485,1349.055,1780.747,5.019,NA,45.186,54.256,NA,94.552,NA,17.082
2014-03-19,7.4,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-20,7,0.6,1,0.0297619047619047,1306.61699962616,459.294,847.247,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-21,7,0.2,0.8,0.0692239858906525,820.119999885559,960.108,195.22,NA,NA,3.01,14.117,NA,NA,NA,NA
2014-03-22,7,-0.4,1,0.0710591929079324,358.593000411987,255.808,80.51,NA,NA,NA,22.17,NA,NA,NA,NA
2014-03-23,7,0.2,1,0.144927536231884,562.442000150681,29.591,522.718,NA,NA,NA,10.102,NA,NA,NA,NA
2014-03-24,7,1,0.8,0,326.594999790191,258.777,38.207,NA,NA,21.464,8.046,NA,NA,NA,NA
2014-03-25,7,0.8,1,0.0043103448275862,1444.80100035667,554.523,890.138,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-26,7.2,1.4,0.8,0.226851851851852,4948.67299938202,838.873,3850.691,NA,NA,NA,396.176,NA,62.299,NA,NA
2014-03-27,7,1,1,0,0.462000131607056,49.808,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-28,7.2,1.2,1,0.042063492063492,1583.14499998093,596.674,1039.388,NA,NA,NA,7.021,NA,NA,NA,48.229
2014-03-29,7,-1.2,0.8,0.325952380952381,194.701999664307,122.675,3.016,NA,NA,9.039,10.032,49.613,NA,NA,NA
2014-03-30,7.4,-0.8,1,0.252876984126984,1070.58500051498,589.299,325.968,NA,NA,NA,NA,155.979,NA,NA,NA
2014-03-31,7.2,0.2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-01,7.2,0.6,1,0.271825396825397,769.855000019074,288.358,734.821,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-02,7.2,0.8,1,0.189484126984127,1661.3069999218,312.297,1317.541,NA,NA,9.064,8.031,14.121,NA,NA,NA
2014-04-03,7.2,0.6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-04,7.2,0.6,1,0.163380243067743,740.133000135422,513.205,339.687,NA,NA,NA,NA,236.197,NA,NA,NA
2014-04-05,7.8,1,1,0.138157894736842,25.4140002727509,25.402,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-06,6.2,-0.2,0,0.00657894736842105,423.746000051497,225.358,198.23,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-07,6.8,0.4,0.4,0.106758373205741,517.509999990463,48.502,450.682,NA,NA,NA,18.198,NA,NA,NA,NA
2014-04-08,6.8,0.2,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-09,7,0,1,0.0087719298245614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-10,7.2,0.4,1,0.00789473684210526,648.267000198364,222.572,486.128,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-11,7,0.4,0.8,0.0357142857142857,794.978999853134,314.46,41.451,NA,NA,NA,11.077,427.776,NA,NA,NA
2014-04-12,7.4,1,1,0.0970982142857143,2164.69299960136,582.455,1167.57,414.577,NA,NA,NA,NA,NA,NA,NA
2014-04-13,7,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-14,7,1,1,0.0848765432098765,2896.20200014114,561.055,1987.184,NA,NA,158.011,6.016,109.231,194.88,NA,NA
2014-04-15,7,-0.2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-16,7,0.2,1,0.123900462962963,2811.40199947357,1388.655,1761.246,NA,NA,NA,37.276,NA,NA,23.129,NA
2014-04-17,6.4,0,0,0.0911458333333332,2339.65399980545,1147.198,1445.728,NA,NA,10.038,113.65,63.36,NA,NA,NA
2014-04-18,6,-0.4,0,0.260513739545997,1424.84899950027,256.5,363.985,364.104,NA,326.21,10.049,NA,103.633,NA,NA
2014-04-19,7,-0.2,0.8,0.03125,452.47200012207,328.314,15.068,NA,NA,NA,764.67,NA,NA,NA,NA
2014-04-20,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-21,7.2,-0.2,1,0.03125,2578.15399980545,269.713,1784.137,NA,NA,162.382,1573.925,170.724,NA,NA,NA
2014-04-22,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-23,7,1,1,0.28125,468.83899974823,167.341,231.991,NA,NA,28.243,41.228,NA,NA,NA,NA
2014-04-24,7,1.8,1,0.0625,1259.31800031662,465.399,486.578,39.181,NA,NA,255.91,12.082,NA,NA,NA
2014-04-25,7,1,1,0,72.0190000534058,115.093,17.099,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-26,6.2,-0.2,0,0.0138888888888889,338.807000398635,206.097,236.738,NA,NA,NA,84.554,NA,NA,NA,NA
2014-04-27,7,0.75,0.6,0.149305555555556,2502.14400029182,308.495,3035.294,NA,NA,NA,9.069,NA,NA,NA,NA
2014-04-28,7,1,0.4,0.07,1930.90799999237,464.386,3209.685,NA,96.649,NA,28.163,NA,NA,NA,NA
2014-04-29,7,1,0.333333333333333,0.04,55.154000043869,14.92,543.619,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-30,6,1.4,-0.4,0.136363636363636,193.601000070572,121.243,NA,NA,NA,NA,206.083,NA,NA,NA,NA
2014-05-01,6.6,-0.2,0,0,59.6670000553131,59.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-02,7,0.2,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-03,6.8,0.2,0.2,0.0714285714285715,585.027000188828,243.495,312.229,NA,NA,NA,15.069,14.115,NA,NA,NA
2014-05-04,7,-0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-05,7,1,0.75,0,172.111999750137,174.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-06,NA,NA,NA,0.343685300207039,1658.53600001335,636.768,1154.761,672.08,NA,NA,NA,55.366,23.103,NA,NA
2014-05-07,7,0,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-08,7,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
